                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6647,                  4.815,                 1.7604,                      0,                      0,                      0,                      0,                 1.6722,                 4.7437,                 1.8035,                 0.0946,                 0.0006,                 0.0006
                      1,                 1.5067,                 4.6604,                  1.565,                      0,                      0,                      0,                      0,                 1.3518,                 4.5292,                 1.4448,               0.088297,              0.0012968,              0.0012968
                      2,                 1.3829,                 4.5873,                 1.5045,                      0,                      0,                      0,                      0,                 1.1929,                 4.4149,                 1.2716,                0.08199,              0.0019901,              0.0019901
                      3,                  1.274,                  4.379,                 1.4065,                      0,                      0,                      0,                      0,                 1.0996,                 4.3052,                 1.1599,                0.07568,                0.00268,                0.00268
                      4,                 1.2875,                 4.1573,                 1.3459,                0.10455,                 0.2052,                0.09816,                0.06136,                 1.2419,                  4.116,                  1.159,               0.069366,              0.0033663,              0.0033663
                      5,                 1.2535,                 3.5382,                 1.3235,                0.09704,                0.76767,                0.19325,                0.11658,                 1.2053,                 3.7887,                 1.2331,               0.063049,              0.0040493,              0.0040493
                      6,                 1.3088,                 3.2322,                 1.4457,                0.06422,                0.99242,                0.21377,                0.11901,                 1.3123,                 3.4747,                 1.3206,               0.056729,              0.0047287,              0.0047287
                      7,                 1.4562,                 3.0763,                 1.4793,                0.07379,                0.97158,                0.23015,                0.10722,                 1.4128,                 3.5769,                 1.4021,               0.050405,              0.0054047,              0.0054047
                      8,                 1.3639,                 2.8112,                 1.4205,                0.08972,                0.97916,                0.25848,                0.15898,                 1.2454,                  3.379,                 1.2526,               0.044077,              0.0060772,              0.0060772
                      9,                 1.3371,                 2.7589,                 1.4177,                0.09093,                0.93508,                0.25364,                0.14398,                 1.2989,                  3.534,                 1.2463,               0.037746,              0.0067463,              0.0067463
                     10,                 1.3609,                 2.7364,                 1.3893,                0.10563,                0.95075,                 0.2539,                0.16389,                 1.1458,                 3.3229,                  1.158,               0.031412,              0.0074119,              0.0074119
                     11,                 1.2994,                   2.54,                 1.3238,                0.07534,                 0.8143,                0.22976,                0.14833,                 1.3122,                 3.5235,                 1.3018,               0.025074,               0.008074,               0.008074
                     12,                 1.3205,                 2.5036,                 1.3949,                0.07027,                0.84859,                0.23938,                0.13829,                 1.3352,                 3.6173,                  1.364,               0.018733,              0.0087327,              0.0087327
                     13,                 1.3514,                 2.5267,                 1.3765,                0.07166,                 0.9438,                0.28062,                0.18667,                 1.1713,                 3.1706,                 1.1946,               0.012388,              0.0093879,              0.0093879
                     14,                 1.3047,                 2.4876,                 1.3052,                0.24335,                0.46182,                0.32991,                0.22062,                 1.1483,                 2.4349,                 1.1933,              0.0096535,              0.0096535,              0.0096535
                     15,                  1.227,                 2.6643,                 1.3548,                0.47957,                0.43318,                0.40163,                0.26133,                 1.2142,                 2.4992,                 1.2773,              0.0096535,              0.0096535,              0.0096535
                     16,                 1.2389,                 2.4335,                 1.3282,                0.32031,                0.55021,                0.40248,                0.23645,                 1.3406,                  2.359,                 1.3686,              0.0096288,              0.0096288,              0.0096288
                     17,                 1.2503,                 2.2818,                  1.273,                0.29848,                0.64911,                 0.4422,                0.27275,                 1.2346,                 2.1548,                 1.3069,               0.009604,               0.009604,               0.009604
